Key	Tolerance	Rated Voltage	Rated Current	Rated Power	MFG PN	Digikey PN	Newark PN	Mouser PN
INDUCTORSRP4020:	20%		4.5		SRP4020-2R2M	SRP4020-2R2MCT-ND		
ATMEGA32U4					ATMEGA32U4-MU	ATMEGA32U4-MU-ND		
INDUCTORSRP4020:22uH	20%		4.5A		SRP4020-2R2M	SRP4020-2R2MCT-ND		
ADXL345					ADXL345BCCZ-RL7	ADXL345BCCZ-RL7CT-ND		
AP7331					AP7331-33SNG-7	AP7331-33SNG-7DICT-ND		
TCA9406					TCA9406DCTR	296-28108-1-ND		
TPS63020					TPS63020DSJT	296-27230-1-ND		
MCP73831T					MCP73831T-2ACI/OT	MCP73831T-2ACI/OTCT-ND		
ABRACOM_CLOCKS_ABABM10:16Mhz					ABM10-16.000MHZ-E20-T	535-9810-1-ND		
USB-MICROB								
USB_MICRO_B_ZX62R					ZX62-B-5PA(11)	H11634CT-ND		
RESISTORR_0402:220K	1%			0.1W	ERJ-2RKF2203X	P220KLCT-ND		
RESISTORR_0402:2M	1%			0.0625W	CRCW04022M00FKED	541-2.00MLCT-ND		
RESISTORR_0402:2K	5%			0.1W	ERJ-2GEJ202X	P2.0KJCT-ND		
RESISTORR_0402:10K	5%			0.1W	ERJ-2GEJ103X	P10KJCT-ND		
RESISTORR_0402:100	5%			0.1W	ERJ-2GEJ101X	P100JCT-ND		
RESISTORR_0402:22	5%			0.1W	ERJ-2GEJ220X	P22JCT-ND		
CAPACITORC_0402:22p	5%	25V			04023A220JAT2A	478-6192-1-ND		
CAPACITORC_0603:4.7uF	20%	10V			C1608X5R1A475M/0.50	445-7483-1-ND		
CAPACITORC_0805:22uF	20%	10V			C2012X5R1A226M/1.25	445-7665-1-ND		
CAPACITORC_0402:1uF	20%	16V			C1005X5R1C105M	445-4979-1-ND		
CAPACITORC_1206:47uF	20%	10V			LMK316BJ476ML-T	587-1780-1-ND		
CAPACITORC_0603:10uF	20	10			C1608X5R1A106M	445-6853-1-ND		
LED0402:					LNJ347W83RA	LNJ347W83RACT-ND		
NLSX4373					NLSX4373MUTAG			863-NLSX4373MUTAG
RESISTORR_0402:1K	5%			0.1W	ERJ-2GEJ102X	P1.0KJCT-ND		
RESISTORR_0402:1.6M	1%			0.0625W	CRCW04021M60FKED	541-1.60MLCT-ND		
CAPACITORC_0402:0.1uF	20%	16V			C1005X5R1C104M	445-4971-1-ND		
INDUCTORSRP4020:2.2uH	20%		4A		SRP4020-2R2M	SRP4020-2R2MCT-ND		
CAPACITORC_0603:22uF	20%	6.3V			C1608X5R0J226M	445-8028-1-ND		
CAPACITORC_1206:100uF	20%	6.3V			GRM31CF50J107ZE01L	490-4512-1-ND		
M02JST-PTH-2:					S2B-PH-K-S(LF)(SN)	455-1719-ND		
FUSE0402:1.5A					MFU0402FF01500E100	MFU04021.50CT-ND		
DIODE_SMDSOD-323:1A		20V	1A		NSR0320MW2T1G	NSR0320MW2T1GOSCT-ND		
LTC4085					LTC4085EDE#PBF	LTC4085EDE#PBF-ND		
MOSFET-P_CHANNEL_SC-70-6		20V	12A		SIA419DJ-T1-GE3	SIA419DJ-T1-GE3CT-ND		
CAPACITORC_0402:0.22uF					C1005X5R1A224K	445-4985-1-ND		
CAPACITORC_0402:2.2nF	10%	50V			C1005X5R1H222K	445-7378-1-ND		
CAPACITORC_0402:10nF	10%	25V			C1005X5R1E103K	445-7386-1-ND		
RESISTORR_0402:100K	1%			0.1W	ERJ-2RKF1003X	P100KLCT-ND		
CAPACITORC_0402:4.7uF	20%	10V			C1005X5R1A475M	445-8023-1-ND		
